id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
39,send  Formatted  Jingle,Jingle,Jingle,,send  Formatted  Jingle,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  create  Error  Unknown  Session  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,Jingle  Session,logger  sessions  random  Generator  initiator  responder  sid  connection  Listener  packet  Listener  packet  Filter  jingle  Media  Managers  session  State  content  Negotiators  connection  session  Init  Packet  I  D  media  Session  Map,Jingle  Session  Jingle  Session  get  Initiator  get  Connection  set  Initiator  get  Media  Managers  set  Media  Managers  get  Responder  set  Responder  get  Sid  set  Sid  generate  Session  Id  set  Session  State  get  Session  State  is  Fully  Established  receive  Packet  And  Respond  dispatch  Incoming  Packet  add  Content  Negotiator  send  Formatted  Jingle  create  Ack  hash  Code  equals  unregister  Instance  For  register  Instance  get  Instance  For  install  Connection  Listeners  connection  Terminated  remove  Connection  Listener  remove  Async  Packet  Listener  update  Packet  Listener  process  Stanza  accept  add  Media  Listener  remove  Media  Listener  add  Transport  Listener  remove  Transport  Listener  setup  Listeners  media  Closed  media  Established  transport  Established  transport  Closed  transport  Closed  On  Error  trigger  Session  Closed  trigger  Session  Closed  On  Error  trigger  Media  Received  terminate  terminate  close  is  Closed  create  Jingle  Error  media  Received  start  Outgoing  start  Incoming  do  Start  start  Negotiators  add  Jingle  Media  Session  get  Media  Session,1,0
40,send  Formatted  Jingle,Jingle,Jingle,,send  Formatted  Jingle,Jingle  Session,logger  sessions  random  Generator  initiator  responder  sid  connection  Listener  packet  Listener  packet  Filter  jingle  Media  Managers  session  State  content  Negotiators  connection  session  Init  Packet  I  D  media  Session  Map,Jingle  Session  Jingle  Session  get  Initiator  get  Connection  set  Initiator  get  Media  Managers  set  Media  Managers  get  Responder  set  Responder  get  Sid  set  Sid  generate  Session  Id  set  Session  State  get  Session  State  is  Fully  Established  receive  Packet  And  Respond  dispatch  Incoming  Packet  add  Content  Negotiator  send  Formatted  Jingle  create  Ack  hash  Code  equals  unregister  Instance  For  register  Instance  get  Instance  For  install  Connection  Listeners  connection  Terminated  remove  Connection  Listener  remove  Async  Packet  Listener  update  Packet  Listener  process  Stanza  accept  add  Media  Listener  remove  Media  Listener  add  Transport  Listener  remove  Transport  Listener  setup  Listeners  media  Closed  media  Established  transport  Established  transport  Closed  transport  Closed  On  Error  trigger  Session  Closed  trigger  Session  Closed  On  Error  trigger  Media  Received  terminate  terminate  close  is  Closed  create  Jingle  Error  media  Received  start  Outgoing  start  Incoming  do  Start  start  Negotiators  add  Jingle  Media  Session  get  Media  Session,iq,iq  element  query  element  child  Element  Q  Name  child  Element  Name  child  Element  Namespace  type  Type  Response  Type  I  Q  Child  Element  Xml  String  Builder  element  is  Empty  Element,iq  iq  iq  get  Type  set  Type  is  Request  I  Q  is  Response  I  Q  get  Child  Element  Q  Name  get  Child  Element  Name  get  Child  Element  Namespace  get  Element  Name  to  String  to  X  M  L  get  Child  Element  X  M  L  append  Inner  Xml  get  I  Q  Child  Element  Builder  create  Result  I  Q  create  Error  Response  create  Error  Response  create  Error  Response  send  Stanza  from  String  result  Response  Type  get  Type  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  set  Empty  Element,0,0
41,send  Formatted  Jingle,Jingle,Jingle,,send  Formatted  Jingle,iq,iq  element  query  element  child  Element  Q  Name  child  Element  Name  child  Element  Namespace  type  Type  Response  Type  I  Q  Child  Element  Xml  String  Builder  element  is  Empty  Element,iq  iq  iq  get  Type  set  Type  is  Request  I  Q  is  Response  I  Q  get  Child  Element  Q  Name  get  Child  Element  Name  get  Child  Element  Namespace  get  Element  Name  to  String  to  X  M  L  get  Child  Element  X  M  L  append  Inner  Xml  get  I  Q  Child  Element  Builder  create  Result  I  Q  create  Error  Response  create  Error  Response  create  Error  Response  send  Stanza  from  String  result  Response  Type  get  Type  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  set  Empty  Element,Jingle  Session,logger  sessions  random  Generator  initiator  responder  sid  connection  Listener  packet  Listener  packet  Filter  jingle  Media  Managers  session  State  content  Negotiators  connection  session  Init  Packet  I  D  media  Session  Map,Jingle  Session  Jingle  Session  get  Initiator  get  Connection  set  Initiator  get  Media  Managers  set  Media  Managers  get  Responder  set  Responder  get  Sid  set  Sid  generate  Session  Id  set  Session  State  get  Session  State  is  Fully  Established  receive  Packet  And  Respond  dispatch  Incoming  Packet  add  Content  Negotiator  send  Formatted  Jingle  create  Ack  hash  Code  equals  unregister  Instance  For  register  Instance  get  Instance  For  install  Connection  Listeners  connection  Terminated  remove  Connection  Listener  remove  Async  Packet  Listener  update  Packet  Listener  process  Stanza  accept  add  Media  Listener  remove  Media  Listener  add  Transport  Listener  remove  Transport  Listener  setup  Listeners  media  Closed  media  Established  transport  Established  transport  Closed  transport  Closed  On  Error  trigger  Session  Closed  trigger  Session  Closed  On  Error  trigger  Media  Received  terminate  terminate  close  is  Closed  create  Jingle  Error  media  Received  start  Outgoing  start  Incoming  do  Start  start  Negotiators  add  Jingle  Media  Session  get  Media  Session,1,0
42,create  Ack,iq,iq,,equals  get  Type  create  Result  I  Q,Jingle  Session,logger  sessions  random  Generator  initiator  responder  sid  connection  Listener  packet  Listener  packet  Filter  jingle  Media  Managers  session  State  content  Negotiators  connection  session  Init  Packet  I  D  media  Session  Map,Jingle  Session  Jingle  Session  get  Initiator  get  Connection  set  Initiator  get  Media  Managers  set  Media  Managers  get  Responder  set  Responder  get  Sid  set  Sid  generate  Session  Id  set  Session  State  get  Session  State  is  Fully  Established  receive  Packet  And  Respond  dispatch  Incoming  Packet  add  Content  Negotiator  send  Formatted  Jingle  send  Formatted  Jingle  hash  Code  equals  unregister  Instance  For  register  Instance  get  Instance  For  install  Connection  Listeners  connection  Terminated  remove  Connection  Listener  remove  Async  Packet  Listener  update  Packet  Listener  process  Stanza  accept  add  Media  Listener  remove  Media  Listener  add  Transport  Listener  remove  Transport  Listener  setup  Listeners  media  Closed  media  Established  transport  Established  transport  Closed  transport  Closed  On  Error  trigger  Session  Closed  trigger  Session  Closed  On  Error  trigger  Media  Received  terminate  terminate  close  is  Closed  create  Jingle  Error  media  Received  start  Outgoing  start  Incoming  do  Start  start  Negotiators  add  Jingle  Media  Session  get  Media  Session,iq,iq  element  query  element  child  Element  Q  Name  child  Element  Name  child  Element  Namespace  type  Type  Response  Type  I  Q  Child  Element  Xml  String  Builder  element  is  Empty  Element,iq  iq  iq  get  Type  set  Type  is  Request  I  Q  is  Response  I  Q  get  Child  Element  Q  Name  get  Child  Element  Name  get  Child  Element  Namespace  get  Element  Name  to  String  to  X  M  L  get  Child  Element  X  M  L  append  Inner  Xml  get  I  Q  Child  Element  Builder  create  Result  I  Q  create  Error  Response  create  Error  Response  create  Error  Response  send  Stanza  from  String  result  Response  Type  get  Type  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  set  Empty  Element,0,0
43,create  Ack,iq,iq,,equals  get  Type  create  Result  I  Q,iq,iq  element  query  element  child  Element  Q  Name  child  Element  Name  child  Element  Namespace  type  Type  Response  Type  I  Q  Child  Element  Xml  String  Builder  element  is  Empty  Element,iq  iq  iq  get  Type  set  Type  is  Request  I  Q  is  Response  I  Q  get  Child  Element  Q  Name  get  Child  Element  Name  get  Child  Element  Namespace  get  Element  Name  to  String  to  X  M  L  get  Child  Element  X  M  L  append  Inner  Xml  get  I  Q  Child  Element  Builder  create  Result  I  Q  create  Error  Response  create  Error  Response  create  Error  Response  send  Stanza  from  String  result  Response  Type  get  Type  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  set  Empty  Element,Jingle  Session,logger  sessions  random  Generator  initiator  responder  sid  connection  Listener  packet  Listener  packet  Filter  jingle  Media  Managers  session  State  content  Negotiators  connection  session  Init  Packet  I  D  media  Session  Map,Jingle  Session  Jingle  Session  get  Initiator  get  Connection  set  Initiator  get  Media  Managers  set  Media  Managers  get  Responder  set  Responder  get  Sid  set  Sid  generate  Session  Id  set  Session  State  get  Session  State  is  Fully  Established  receive  Packet  And  Respond  dispatch  Incoming  Packet  add  Content  Negotiator  send  Formatted  Jingle  send  Formatted  Jingle  hash  Code  equals  unregister  Instance  For  register  Instance  get  Instance  For  install  Connection  Listeners  connection  Terminated  remove  Connection  Listener  remove  Async  Packet  Listener  update  Packet  Listener  process  Stanza  accept  add  Media  Listener  remove  Media  Listener  add  Transport  Listener  remove  Transport  Listener  setup  Listeners  media  Closed  media  Established  transport  Established  transport  Closed  transport  Closed  On  Error  trigger  Session  Closed  trigger  Session  Closed  On  Error  trigger  Media  Received  terminate  terminate  close  is  Closed  create  Jingle  Error  media  Received  start  Outgoing  start  Incoming  do  Start  start  Negotiators  add  Jingle  Media  Session  get  Media  Session,1,0
44,register  Thing,Io  T  Discovery  Manager,Thing  State,,find  Registry  register  Thing,Io  T  Discovery  Manager,logger  instances  preconfigured  Registry  used  Registries  things,connection  Created  get  Instance  For  Io  T  Discovery  Manager  handle  I  Q  Request  handle  I  Q  Request  handle  I  Q  Request  find  Registry  claim  Thing  claim  Thing  claim  Thing  remove  Thing  remove  Thing  remove  Thing  unregister  unregister  unregister  disown  Thing  disown  Thing  disown  Thing  is  Registry  is  Registry  interact  With  Registry  get  State  For  get  State  For,Thing,meta  Tags  self  Owned  node  Info  momentary  Read  Out  Request  Handler  control  Request  Handler  to  String  Cache  Builder  meta  Tags  self  Owned  node  Info  momentary  Read  Out  Request  control  Request,Thing  get  Meta  Tags  is  Self  Owened  get  Node  Info  get  Node  Id  get  Source  Id  get  Cache  Type  get  Momentary  Read  Out  Request  Handler  get  Control  Request  Handler  to  String  builder  set  Serial  Number  set  Key  set  Manufacturer  set  Model  set  Version  set  Momentary  Read  Out  Request  Handler  set  Control  Request  Handler  build,0,0
45,register  Thing,Io  T  Discovery  Manager,Thing  State,,find  Registry  register  Thing,Thing,meta  Tags  self  Owned  node  Info  momentary  Read  Out  Request  Handler  control  Request  Handler  to  String  Cache  Builder  meta  Tags  self  Owned  node  Info  momentary  Read  Out  Request  control  Request,Thing  get  Meta  Tags  is  Self  Owened  get  Node  Info  get  Node  Id  get  Source  Id  get  Cache  Type  get  Momentary  Read  Out  Request  Handler  get  Control  Request  Handler  to  String  builder  set  Serial  Number  set  Key  set  Manufacturer  set  Model  set  Version  set  Momentary  Read  Out  Request  Handler  set  Control  Request  Handler  build,Io  T  Discovery  Manager,logger  instances  preconfigured  Registry  used  Registries  things,connection  Created  get  Instance  For  Io  T  Discovery  Manager  handle  I  Q  Request  handle  I  Q  Request  handle  I  Q  Request  find  Registry  claim  Thing  claim  Thing  claim  Thing  remove  Thing  remove  Thing  remove  Thing  unregister  unregister  unregister  disown  Thing  disown  Thing  disown  Thing  is  Registry  is  Registry  interact  With  Registry  get  State  For  get  State  For,1,1
46,remove  Thing,Bare  Jid,void,,remove  Thing,Io  T  Discovery  Manager,logger  instances  preconfigured  Registry  used  Registries  things,connection  Created  get  Instance  For  Io  T  Discovery  Manager  handle  I  Q  Request  handle  I  Q  Request  handle  I  Q  Request  find  Registry  register  Thing  claim  Thing  claim  Thing  claim  Thing  remove  Thing  remove  Thing  unregister  unregister  unregister  disown  Thing  disown  Thing  disown  Thing  is  Registry  is  Registry  interact  With  Registry  get  State  For  get  State  For,Node  Info,empty  node  Id  source  Id  cache  Type,Node  Info  Node  Info  get  Node  Id  get  Source  Id  get  Cache  Type  append  To  hash  Code  equals,0,0
47,remove  Thing,Bare  Jid,void,,remove  Thing,Node  Info,empty  node  Id  source  Id  cache  Type,Node  Info  Node  Info  get  Node  Id  get  Source  Id  get  Cache  Type  append  To  hash  Code  equals,Io  T  Discovery  Manager,logger  instances  preconfigured  Registry  used  Registries  things,connection  Created  get  Instance  For  Io  T  Discovery  Manager  handle  I  Q  Request  handle  I  Q  Request  handle  I  Q  Request  find  Registry  register  Thing  claim  Thing  claim  Thing  claim  Thing  remove  Thing  remove  Thing  unregister  unregister  unregister  disown  Thing  disown  Thing  disown  Thing  is  Registry  is  Registry  interact  With  Registry  get  State  For  get  State  For,1,0
48,unregister,,void,,unregister,Io  T  Discovery  Manager,logger  instances  preconfigured  Registry  used  Registries  things,connection  Created  get  Instance  For  Io  T  Discovery  Manager  handle  I  Q  Request  handle  I  Q  Request  handle  I  Q  Request  find  Registry  register  Thing  claim  Thing  claim  Thing  claim  Thing  remove  Thing  remove  Thing  remove  Thing  unregister  unregister  disown  Thing  disown  Thing  disown  Thing  is  Registry  is  Registry  interact  With  Registry  get  State  For  get  State  For,Node  Info,empty  node  Id  source  Id  cache  Type,Node  Info  Node  Info  get  Node  Id  get  Source  Id  get  Cache  Type  append  To  hash  Code  equals,0,0
49,unregister,,void,,unregister,Node  Info,empty  node  Id  source  Id  cache  Type,Node  Info  Node  Info  get  Node  Id  get  Source  Id  get  Cache  Type  append  To  hash  Code  equals,Io  T  Discovery  Manager,logger  instances  preconfigured  Registry  used  Registries  things,connection  Created  get  Instance  For  Io  T  Discovery  Manager  handle  I  Q  Request  handle  I  Q  Request  handle  I  Q  Request  find  Registry  register  Thing  claim  Thing  claim  Thing  claim  Thing  remove  Thing  remove  Thing  remove  Thing  unregister  unregister  disown  Thing  disown  Thing  disown  Thing  is  Registry  is  Registry  interact  With  Registry  get  State  For  get  State  For,1,0
50,disown  Thing,Jid,void,,disown  Thing,Io  T  Discovery  Manager,logger  instances  preconfigured  Registry  used  Registries  things,connection  Created  get  Instance  For  Io  T  Discovery  Manager  handle  I  Q  Request  handle  I  Q  Request  handle  I  Q  Request  find  Registry  register  Thing  claim  Thing  claim  Thing  claim  Thing  remove  Thing  remove  Thing  remove  Thing  unregister  unregister  unregister  disown  Thing  disown  Thing  is  Registry  is  Registry  interact  With  Registry  get  State  For  get  State  For,Node  Info,empty  node  Id  source  Id  cache  Type,Node  Info  Node  Info  get  Node  Id  get  Source  Id  get  Cache  Type  append  To  hash  Code  equals,0,0
51,disown  Thing,Jid,void,,disown  Thing,Node  Info,empty  node  Id  source  Id  cache  Type,Node  Info  Node  Info  get  Node  Id  get  Source  Id  get  Cache  Type  append  To  hash  Code  equals,Io  T  Discovery  Manager,logger  instances  preconfigured  Registry  used  Registries  things,connection  Created  get  Instance  For  Io  T  Discovery  Manager  handle  I  Q  Request  handle  I  Q  Request  handle  I  Q  Request  find  Registry  register  Thing  claim  Thing  claim  Thing  claim  Thing  remove  Thing  remove  Thing  remove  Thing  unregister  unregister  unregister  disown  Thing  disown  Thing  is  Registry  is  Registry  interact  With  Registry  get  State  For  get  State  For,1,0
